Paper Name,Citation,Cohort,Gait Task,High-pass filter (settings),ASR (Yes/No),ASR cut-off,IC-selection method,IC-selection threshold,Supporting quote - High-pass,Supporting quote - ASR,Supporting quote - ASR threshold,Supporting quote - IC-selection method,Supporting quote - IC-selection threshold,Filename,Notes / Cross-validation flags
Is Cortical Activation During Walking Different Between Parkinson's Disease Motor Subtypes?,"Orcioli-Silva, D., et al., 2020",PwPD,Overground walking,1 Hz,No,,"Manual/visual; ICA used, method unspecified",,"- ""Electroencephalography data were recorded using a wireless Mobita 32-channel system (TMSi, The Netherlands). The sampling rate was set to 500 Hz.""
  - ""All processing and analysis were performed in Matlab using an open-source toolbox for processing EEG data (EEGLAB 13.0.1b)""
  - ""Substantial artifacts throughout the recordings were removed using the following methods: (i) channels with magnitude <30 or >2000 µV; (ii) channels with kurtosis >5 SDs from the mean; and (iii) channels with standard deviation substantially greater compared to neighboring channels""
  - ""After rejecting channels, independent component analysis (RUNICA, from EEGLAB) was performed on the dataset to identify and remove eye blinks and artifacts related to muscle activity""
  - ""The EEG recordings were synchronized to the accelerometer data, which was coupled to the Mobita system and attached to the lower back (L5) of the participant to record vertical acceleration.""
  - ""Electroencephalography data were segmented into gait cycles (epochs). Subsequently, individual EEG datasets from both conditions were merged into a single dataset, which was band-pass filtered (1-100 Hz) and line noise removal (60 Hz).""","- ""In addition, epochs with visible motion artifacts were removed by visual inspection.""
  - ""After rejecting channels, independent component analysis (RUNICA, from EEGLAB) was performed on the dataset to identify and remove eye blinks and artifacts related to muscle activity (41,42).""
  - ""Substantial artifacts throughout the recordings were removed using the following methods: (i) channels with magnitude <30 or >2000 µV; (ii) channels with kurtosis >5 SDs from the mean; and (iii) channels with standard deviation substantially greater compared to neighboring channels (17,40).""","- ""In addition, epochs with visible motion artifacts were removed by visual inspection.""
  - ""After rejecting channels, independent component analysis (RUNICA, from EEGLAB) was performed on the dataset to identify and remove eye blinks and artifacts related to muscle activity (41,42).""
  - ""Substantial artifacts throughout the recordings were removed using the following methods: (i) channels with magnitude <30 or >2000 µV; (ii) channels with kurtosis >5 SDs from the mean; and (iii) channels with standard deviation substantially greater compared to neighboring channels (17,40).""","- ""In addition, epochs with visible motion artifacts were removed by visual inspection.""
  - ""After rejecting channels, independent component analysis (RUNICA, from EEGLAB) was performed on the dataset to identify and remove eye blinks and artifacts related to muscle activity (41,42).""","- ""In addition, epochs with visible motion artifacts were removed by visual inspection.""
  - ""After rejecting channels, independent component analysis (RUNICA, from EEGLAB) was performed on the dataset to identify and remove eye blinks and artifacts related to muscle activity (41,42).""",PMID_32674140.pdf,
Stepping in time: Alpha -mu and beta oscillations during a walking synchronization task,"Scanlon, J. E. M., et al., 2022",HA,Overground walking,"1 Hz, Hamming windowed, zero-phase FIR, order 826",Yes,20 SD,ICLabel (automated classifier by Pion-Tonachini),reject IC if P(brain) < 0.7,"- ""Filters used were Hamming windowed, zero-phase finite impulse response (FIR) filters (using EEGLAB function pop_eegfiltnew) with a transition band-width at 25% of the lower passband edge.""
  - ""The EEG data were then filtered with a high-pass filter (order 826) of 1 Hz and low-pass filter (order 56) of 120 Hz, then resampled to 250 Hz.""","- ""data were cleaned using artifact subspace reconstruction (ASR), with a threshold of 20 SD.""","- ""After ASR, data from the walking tasks were epoched into consecutive 1-s segments, and those epochs with artifacts (global and channel thresholds of 3 SD) were removed.""","- ""ICLabel ( Pion-Tonachini et al., 2019 ; see labeling.ucsd.edu) was then used to identify and remove any IC's classified with less than 70% probability of being due to brain activity.""
  - ""Extended infomax independent component analysis (ICA; as implemented in EEGLAB) was then run on the concatenated remaining 1-s epochs.""","- ""ICLabel ( Pion-Tonachini et al., 2019 ; see labeling.ucsd.edu) was then used to identify and remove any IC's classified with less than 70% probability of being due to brain activity.""
  - ""Extended infomax independent component analysis (ICA; as implemented in EEGLAB) was then run on the concatenated remaining 1-s epochs.""",PMID_35301131.pdf,
Mobile EEG reveals functionally dissociable dynamic processes supporting real-world ambulatory obstacle avoidance: Evidence for early proactive control,"Mustile, M., et al., 2021",HA,Overground walking,"0.01 Hz (initial filtering), 0.1 Hz (main analysis)",No,,"Other automated (e.g. kurtosis, ADJUST, MARA, correlation-based); Manual/visual",dipole residual variance < 15%,"- ""During recording EEG data were sampled at 500 Hz and bandpass filtered at 0.01-250 Hz.""
  - ""Data from the mastoid channels (M1 and M2) were removed from the analysis, and all remaining EEG data were filtered using a 0.1 to 40 Hz bandpass filter.""","- ""EEG channels with prominent artefacts were automatically selected (kurtosis > 5 SDs) and interpolated, and all channels were then re-referenced to the average.""
  - ""Artifactual ICs scalp maps were selected through SASICA (Semi-Automated Selection of Independent Components of the electroencephalogram for Artifact Correction, Chaumon et al., 2015) combined with the ADJUST (Automatic EEG artefact Detection based on the Joint Use Of Spatial and Temporal features, Mognon et al., 2011) and MARA (Multiple Artifact Rejection Algorithm, Winkler et al., 2011) plugins.""
  - ""An extended infomax Independent Component Analysis (ICA, Makeig et al., 1996) was performed to identify and remove non-brain signals.""","- ""The 'Autocorrelation' measure detects noisy components with weak autocorrelation (e.g. muscle artefacts) with a threshold of 2 SDs and a lag of 20 ms.""
  - ""The 'Focal Components' measure detects components that are too focal and thus unlikely to correspond to neural activity (e.g. bad channels or muscle artefacts) with a threshold of 2 SDs.""
  - ""The 'Signal-to-Noise Ratio' measure (0-Inf, -Inf 0, threshold ratio = 1) is used to identify components with weak signal-tonoise ratio that occur between the baseline and the time window of interest.""
  - ""The 'Dipole Fit Residual Variance' measure (threshold = 15%) detects components with high residual variance after subtraction of the forward dipole model.""
  - ""The 'Correlation with other channel(s)' measure detects components whose time course correlates with any channel(s), with a threshold of 4 SDs.""
  - ""The ADJUST (Mognon et al., 2011) and MARA (Winkler et al., 2011) plugins automatically compute spatial and temporal features (using pre-set parameters) to classify components as artefacts.""","- ""An extended infomax Independent Component Analysis (ICA, Makeig et al., 1996) was performed to identify and remove non-brain signals.""
  - ""Artifactual ICs scalp maps were selected through SASICA (Semi-Automated Selection of Independent Components of the electroencephalogram for Artifact Correction, Chaumon et al., 2015) combined with the ADJUST (Automatic EEG artefact Detection based on the Joint Use Of Spatial and Temporal features, Mognon et al., 2011) and MARA (Multiple Artifact Rejection Algorithm, Winkler et al., 2011) plugins.""
  - ""The 'Autocorrelation' measure detects noisy components with weak autocorrelation (e.g. muscle artefacts) with a threshold of 2 SDs and a lag of 20 ms.""
  - ""The 'Focal Components' measure detects components that are too focal and thus unlikely to correspond to neural activity (e.g. bad channels or muscle artefacts) with a threshold of 2 SDs.""
  - ""The 'Signal-to-Noise Ratio' measure (0-Inf, -Inf 0, threshold ratio = 1) is used to identify components with weak signal-tonoise ratio that occur between the baseline and the time window of interest.""
  - ""The 'Dipole Fit Residual Variance' measure (threshold = 15%) detects components with high residual variance after subtraction of the forward dipole model.""
  - ""The 'Correlation with other channel(s)' measure detects components whose time course correlates with any channel(s), with a threshold of 4 SDs.""
  - ""The ADJUST (Mognon et al., 2011) and MARA (Winkler et al., 2011) plugins automatically compute spatial and temporal features (using pre-set parameters) to classify components as artefacts.""
  - ""The resulting ICs scalp maps (or topographies) were further visually inspected to identify ICs with low residual variance (<15%).""
  - ""Across conditions an average (mean ± SD) of 5.85 ± 1.97 of nonartifactual ICs were retained for analysis.""","- ""An extended infomax Independent Component Analysis (ICA, Makeig et al., 1996) was performed to identify and remove non-brain signals.""
  - ""Artifactual ICs scalp maps were selected through SASICA (Semi-Automated Selection of Independent Components of the electroencephalogram for Artifact Correction, Chaumon et al., 2015) combined with the ADJUST (Automatic EEG artefact Detection based on the Joint Use Of Spatial and Temporal features, Mognon et al., 2011) and MARA (Multiple Artifact Rejection Algorithm, Winkler et al., 2011) plugins.""
  - ""The 'Autocorrelation' measure detects noisy components with weak autocorrelation (e.g. muscle artefacts) with a threshold of 2 SDs and a lag of 20 ms.""
  - ""The 'Focal Components' measure detects components that are too focal and thus unlikely to correspond to neural activity (e.g. bad channels or muscle artefacts) with a threshold of 2 SDs.""
  - ""The 'Signal-to-Noise Ratio' measure (0-Inf, -Inf 0, threshold ratio = 1) is used to identify components with weak signal-tonoise ratio that occur between the baseline and the time window of interest.""
  - ""The 'Dipole Fit Residual Variance' measure (threshold = 15%) detects components with high residual variance after subtraction of the forward dipole model.""
  - ""The 'Correlation with other channel(s)' measure detects components whose time course correlates with any channel(s), with a threshold of 4 SDs.""
  - ""The ADJUST (Mognon et al., 2011) and MARA (Winkler et al., 2011) plugins automatically compute spatial and temporal features (using pre-set parameters) to classify components as artefacts.""
  - ""The resulting ICs scalp maps (or topographies) were further visually inspected to identify ICs with low residual variance (<15%).""
  - ""Across conditions an average (mean ± SD) of 5.85 ± 1.97 of nonartifactual ICs were retained for analysis.""",PMID_33465827.pdf,
Recalibration of Inhibitory Control Systems during Walking-Related Dual-Task Interference: A Mobile Brain-Body Imaging (MOBI) Study,"De Sanctis, P., et al., 2015",HA,Treadmill walking,"0.05 Hz (initial recording), 0.5 Hz (offline analysis)",No,,No ICA,,"- ""The continuous data were bandpass filtered offline from 0.5-30Hz (12 dB/octave).""
  - ""The data were recorded at 512 Hz and bandpass filtered from 0.05 to 100Hz (24 dB/octave).""","- ""Indeed, the standard signalaveraging approach appeared to be perfectly efficient in removing any walking-related artifacts, since the temporal dynamics of both the cognitive and walking tasks were unrelated to each other""
  - ""We applied an automatic artifact rejection criterion of ±100 μV across all electrodes in the array. Trials with more than six artifact channels were rejected. On trials with less than six such channels, we interpolated any remaining bad channels using a nearest neighbor spline.""","- ""Trials with more than six artifact channels were rejected. On trials with less than six such channels, we interpolated any remaining bad channels using a nearest neighbor spline.""
  - ""We applied an automatic artifact rejection criterion of ±100 μV across all electrodes in the array.""","- ""We applied an automatic artifact rejection criterion of ±100 μV across all electrodes in the array.""
  - ""Trials with more than six artifact channels were rejected. On trials with less than six such channels, we interpolated any remaining bad channels using a nearest neighbor spline.""","- ""Trials with more than six artifact channels were rejected. On trials with less than six such channels, we interpolated any remaining bad channels using a nearest neighbor spline.""",PMC4209901.pdf,
Does the electrode amplification style matter? A comparison of active and passive EEG system configurations during standing and walking,"Scanlon, J., et al., 2020",HA,Overground walking,"1 Hz, Hamming windowed, zero-phase finite impulse response (FIR) filter, order 1650, transition bandwidth at 25% of the lower passband edge",No,,ICLabel (automated classifier by Pion-Tonachini),reject IC if P(eye) > 0.85 or P(heart) > 0.4,"- ""All filters were Hamming windowed, zero-phase finite impulse response (FIR) filters with a transition bandwidth at 25% of the lower passband edge (using EEGLAB function pop_eegfiltnew).""
  - ""The data were filtered with a high-pass filter (HPF; order 1650) of 1 Hz and low-pass filter (LPF; order 166) of 40 Hz, then resampled to 250 Hz.""
  - ""Data were then epoched to oddball events, beginning with the baseline 200 ms before the tone (at 0 ms) and ending 800 ms after the tone, creating 1-s epochs with 250 timepoints. Data were then baseline corrected from -200 to 0 ms. Segments with remaining artifacts were removed, this time with channel and global thresholds of 3 standard deviations.""
  - ""The removed bad channels were then interpolated, and data were re-referenced to an average of TP9 and TP10. Data were then epoched to oddball events, beginning with the baseline 200 ms before the tone (at 0 ms) and ending 800 ms after the tone, creating 1-s epochs with 250 timepoints. Data were then baseline corrected from -200 to 0 ms. Segments with remaining artifacts were removed, this time with channel and global thresholds of 3 standard deviations.""","- ""Segments with remaining artifacts were removed, this time with channel and global thresholds of 3 standard deviations.""
  - ""Extended infomax independent component analysis (ICA) as implemented in EEGLAB was then run on the remaining concatenated 1-s epochs and ICLabel (Pion-Tonachini et al., 2019; see labeling.ucsd.edu)  was used to identify and remove any components with over 85% probability of being eye-related or 40% probability of being due to heart activity (e.g. Viola et al., 2009).""
  - ""Then, bad channels were removed using the function clean_rawdata (an EEGLAB wrapper function calling clean_artifacts), removing channels if they had a >5-s flatline, and <0.5 correlation to a reconstruction of the channel based on other channels.""","- ""Extended infomax independent component analysis (ICA) as implemented in EEGLAB was then run on the remaining concatenated 1-s epochs and ICLabel (Pion-Tonachini et al., 2019; see labeling.ucsd.edu)  was used to identify and remove any components with over 85% probability of being eye-related or 40% probability of being due to heart activity (e.g. Viola et al., 2009).""
  - ""Then, all non-artifactual components were back-projected into continuous datasets, which were filtered with an HPF of 0.3 Hz (order 5500), and filtered again with an LPF of 40 Hz (order 166).""
  - ""Segments with remaining artifacts were removed, this time with channel and global thresholds of 3 standard deviations.""","- ""Extended infomax independent component analysis (ICA) as implemented in EEGLAB was then run on the remaining concatenated 1-s epochs and ICLabel (Pion-Tonachini et al., 2019; see labeling.ucsd.edu)  was used to identify and remove any components with over 85% probability of being eye-related or 40% probability of being due to heart activity (e.g. Viola et al., 2009).""","- ""Extended infomax independent component analysis (ICA) as implemented in EEGLAB was then run on the remaining concatenated 1-s epochs and ICLabel (Pion-Tonachini et al., 2019; see labeling.ucsd.edu)  was used to identify and remove any components with over 85% probability of being eye-related or 40% probability of being due to heart activity (e.g. Viola et al., 2009).""",PMID_33185920.pdf,
The neural response is heightened when watching a person approaching compared to walking away: Evidence for dynamic social neuroscience,"Mustile, M., et al., 2022",HA,Overground walking,"0.1 Hz (main analysis), 0.01 Hz (initial recording)",No,,ICLabel; Dipole/residual-variance,"reject IC if P(eye, muscle, heart, line noise, channel noise) > 0.9; keep IC if dipole residual variance < 15%","- ""Data from the mastoid channels (M1 and M2) were removed from the analysis, and all remaining EEG data was filtered using a 0.1 Hz-40 Hz bandpass filter.""
  - ""EEG data was continuously recorded from 32 Ag/AgCl electrodes caps connected to a portable amplifier (ANT-neuro, Enschede, The Netherlands) at a sampling rate of 500 Hz and bandpass filtered at 0.01-250 Hz.""
  - ""Data were downsampled to 250 Hz and an extended infomax Independent Component Analysis (ICA, Makeig et al., 1995) was performed to identify and remove non-brain signals.""","- ""Brain-related-ICs were identified using the IClabel plugin (Pion- Tonachini et al., 2019). Components exceeding a 90% probability of being eye, muscle, heart, line noise, and channel noise were rejected.""
  - ""an extended infomax Independent Component Analysis (ICA, Makeig et al., 1995) was performed to identify and remove non-brain signals.""
  - ""EEG channels with prominent artifacts were automatically selected (kurtosis >5 SDs) and interpolated, and all channels were then re-referenced to the average.""
  - ""Data from the mastoid channels (M1 and M2) were removed from the analysis, and all remaining EEG data was filtered using a 0.1 Hz-40 Hz bandpass filter.""
  - ""EEG data analyses were performed using custom scripts written in MATLAB 2019 (The MathWorks) incorporating the EEGLAB toolbox (Delorme and Makeig, 2004).""","- ""Only brain ICs with dipoles located inside the head and a residual variance lower than 15% were kept.""
  - ""Brain-related-ICs were identified using the IClabel plugin (Pion- Tonachini et al., 2019). Components exceeding a 90% probability of being eye, muscle, heart, line noise, and channel noise were rejected.""","- ""Only brain ICs with dipoles located inside the head and a residual variance lower than 15% were kept.""
  - ""Brain-related-ICs were identified using the IClabel plugin (Pion- Tonachini et al., 2019).""
  - ""Components exceeding a 90% probability of being eye, muscle, heart, line noise, and channel noise were rejected.""","- ""Brain-related-ICs were identified using the IClabel plugin (Pion- Tonachini et al., 2019). Components exceeding a 90% probability of being eye, muscle, heart, line noise, and channel noise were rejected. Only brain ICs with dipoles located inside the head and a residual variance lower than 15% were kept.""",PMID_36007672.pdf,
Hybrid Human-Machine Interface for Gait Decoding Through Bayesian Fusion of EEG and EMG Classifiers,"Tortora, S., et al., 2020",HA,Treadmill walking,"- Main analysis: 1 Hz, zero-phase 24th-order Chebyshev type II filter
- Before ICA: 1.5 Hz, zero-phase 24th-order Chebyshev type II filter",Yes,,Manual/visual,,"- ""Preprocessing Step I: raw EEG data were high-pass filtered with a zero-phase 24th-order Chebyshev type II filter above 1 Hz and low-pass filtered with a zero-phase 71th-order Chebyshev type II filter below 98 Hz.""
  - ""Step II: raw EEG data were high-pass filtered with a zero-phase 24th-order Chebyshev type II filter above 1.5 Hz and low-pass filtered with a zero-phase 71th-order Chebyshev type II filter below 48 Hz.""","- ""The two-step preprocessing was necessary to apply the ASR only on the EEG data used for the estimation of the independent components (Step II) to enhance their reliability (Artoni et al., 2014), while the classifier was trained on the data from Step I, since ASR may remove also useful brain activity (Artoni et al., 2017).""
  - ""Non-stereotypical artifacts (e.g., movement artifacts related to cable displacement) were removed through Artifacts Subspace Reconstruction (ASR) (Kothe and Jung, 2016;Chang et al., 2018).""","- ""Channels rejected during these offline preprocessing stages were also removed from the test set.""
  - ""Non-stereotypical artifacts (e.g., movement artifacts related to cable displacement) were removed through Artifacts Subspace Reconstruction (ASR) (Kothe and Jung, 2016;Chang et al., 2018).""
  - ""The two-step preprocessing was necessary to apply the ASR only on the EEG data used for the estimation of the independent components (Step II) to enhance their reliability (Artoni et al., 2014),""","- ""Channels rejected during these offline preprocessing stages were also removed from the test set.""
  - ""The two-step preprocessing was necessary to apply the ASR only on the EEG data used for the estimation of the independent components (Step II) to enhance their reliability (Artoni et al., 2014), while the classifier was trained on the data from Step I, since ASR may remove also useful brain activity (Artoni et al., 2017).""","- ""The two-step preprocessing was necessary to apply the ASR only on the EEG data used for the estimation of the independent components (Step II) to enhance their reliability (Artoni et al., 2014), while the classifier was trained on the data from Step I, since ASR may remove also useful brain activity (Artoni et al., 2017).""
  - ""The ICA weights were applied to the EEG signals coming from Step I, projecting the data into the independent components domain.""
  - ""Components that belong to stereotypical artifacts (e.g., neck muscles, eye movement) were rejected by backprojecting the EEG signals to the original domain using only the components related to brain activity (Artoni et al., 2017).""",PMC7705173.pdf,
Negligible Motion Artifacts in Scalp Electroencephalography (EEG) During Treadmill Walking,"Nathan, K., et al., 2016",HA,Treadmill walking,,Yes,3 SD,"ICA used, method unspecified",,"- ""the EEG signals were digitized at 1 kHz using a BrainAmp DC amplifier linked to BrainVision Recorder software version 1.10.""","- ""We extended our analysis to focus on the potential effects of motion artifacts within the delta band (0.1-4 Hz) of EEG, given that this range has been practically used in decoding studies (Presacco et al., 2011(Presacco et al., , 2012;;Do et al., 2013;Bulea et al., 2014;He et al., 2014), based on analysis of wavelet coherence. Coherence has been found between EEG and lowerlimb EMG during walking (Petersen et al., 2012) and at delta band frequencies during seated voluntary foot movements (Raethjen et al., 2008). In this situation, high negative-phase coherence (i.e., EEG leading EMG) would support cortical mechanisms for walking; however, high in-phase coherence between the EEG and the accelerometer would suggest mechanical coupling of the electrode leads dominating the EEG signal. However, individual subject data do not show consistent and continuous regions of significant coherence (Figure 4 , Supplemental Figure S3 ), particularly at lower walking speeds (with the exception of S4). Moreover, because treadmill walking involves continuous and consistent gait motion, we would expect to see the same amount of coherence from one stride to the next if the motion of the EEG setup (e.g., cables going to the amplifiers) affected the EEG signals. The group-averaged data in the current study showed bands of strong coherence (>0.5) for speeds of 3.0 and 4.5 km/h, with phase arrows indicating that the acceleration is leading the EEG signal. At 3.0 km/h, the bands peak at the stepping frequency (∼0.8 Hz) in channels CZ and T8. At 4.5 km/h, there are two bands of strong coherence at 0.97 Hz (average stepping frequency calculated to be 0.93 Hz) and at 1.86 Hz in channels CZ and T8, but only one band for the latter frequency in OZ. Bands of coherence are present at the stepping frequencies at the slowest walking speed but are rather weak in amplitude (∼0.4). This trend is consistent with the individual subject data shown in Supplement Figure S4 . This could be indicative of artifactual contamination, which would provide some support to previous reports (Gwin et al., 2010;Castermans et al., 2014) of finding motion artifacts at speeds greater than 2.9 km/h. Thus, if the experimenter would like to err on the conservative side, future studies should take special care with cable and electrode motion and electrode impedance to minimize the effects of artifactual components during gait speeds above 3.0 km/h. Prior gait decoding studies have typically measured treadmill gait at rates below 3.0 km/h; the self-selected preferred walking speed of subjects from Presacco et al. (2011) did not exceed 2.4 km/h, and the subjects in this study reported walking at 4.5 km/h to be slightly strenuous. This is in contrast, however, with claims of preferred walking speeds of 1.4 m/s (about 5 km/h) reported in Browning et al. (2006), which was the basis for in-depth artifact analysis of faster walking speeds (1.2 m/s or 4.5 km/h) by Kline et al. (2015). Clinical applications may also be a reason to dictate slower gait speeds for non-able bodied persons. Use of a suitable head accelerometer should likely help to analyze potential motion artifacts in future studies.""
  - ""We found ASR to be most beneficial in attenuating the large amplitude deviations of the ERSP at speeds of 4.5 km/h (Figure 3 ) and in reducing regions of significant coherence (Figure 5 ) at speeds greater than 3.0 km/h; the artifact content at slower walking speeds seems negligible enough to not require additional processing for artifact removal.""
  - ""The above analysis was repeated after applying ASR to the raw EEG data (see Figure 3B ), with the acceleration ERSPs remaining unchanged.""","- ""By default, the ASR algorithm uses five standard deviations for the threshold, so our choice of three was a more aggressive criterion.""
  - ""ASR is available as a plug-in for EEGLAB (Delorme and Makeig, 2004 ), which we used with non-default parameters of a sliding window length of 500 ms, a threshold of three standard deviations for identification of corrupted subspaces (more conservative than the default of five), and without any channel rejection.""","- ""Methods have been developed to identify and remove such artifacts from the EEG signals (Gwin et al., 2010;Kline et al., 2015;Urigüen and Garcia-Zapirain, 2015), but the efficacy of such methods has been questioned recently (Castermans et al., 2014;Kline et al., 2015).""
  - ""Gwin et al. (2010) designed a channel-and component-based artifact removal algorithm that allows for successful performance in a visual oddball discrimination task even while running on a treadmill up to speeds of 6.8 km/h. Their algorithm uses channel-based template regression to remove stride phase-locked artifact followed by an adaptive mixture independent component analysis model (AMICA) to decompose the template-subtracted EEG into spatially static components.""
  - ""Nolan et al. (2010) devised the FASTER algorithm (Fully Automated Statistical Thresholding for EEG artifact Rejection), which detects and removes outliers in various data parameters for EEG time series and independent components.""","- ""A recent study by Kline et al. (2015) isolated motion artifact from EEG electrodes during walking by recording the electrical signals picked up after blocking the neural activity with a silicone cap.""
  - ""Gwin et al. (2010) designed a channel-and component-based artifact removal algorithm that allows for successful performance in a visual oddball discrimination task even while running on a treadmill up to speeds of 6.8 km/h.""
  - ""Nolan et al. (2010) devised the FASTER algorithm (Fully Automated Statistical Thresholding for EEG artifact Rejection), which detects and removes outliers in various data parameters for EEG time series and independent components.""
  - ""O' Regan and Marnane (2013) propose a method to detect artifact contamination using features from both EEG and head-mounted gyroscopes, similar to the setup in this study, which can be used to verify whether or not additional processing is necessary.""
  - ""Kline et al. (2015) propose a promising method using an EEG cap with certain channels blocked off from electrocortical signals, and using these motion artifact channels to create a template for real-time subtraction.""
  - ""we performed our analysis of the EEG data both with and without an automated artifact rejection algorithm known as the ASR method.""
  - ""Mullen et al. (2013) demonstrated that ASR can clean EEG contaminated with eye blink and muscle artifacts without distorting the ERP in an Eriksen Flanker task.""
  - ""Bulea et al. (2014) reported that ASR does not affect decoding from pre-movement epochs (and therefore, free of motion artifacts) of EEG recorded during sit-to-stand transitions, but saw an increase in classification accuracy when decoding from the post-movement epochs when ASR was not used; suggesting that motion artifacts may have been present during these epochs, which contributed to higher decoding accuracies without removing neural signals containing movement-related information.""
  - ""In our analysis, ASR was performed after calibration on motion artifact-free EEG recorded while the subject was standing at rest prior to walking.""
  - ""The algorithm would thereby statistically interpolate any highvariance signal components exceeding a threshold of three standard deviations from the covariance of the calibration data; motion artifacts increasing the variance of the signal would be identified for removal via interpolation""
  - ""By default, the ASR algorithm uses five standard deviations for the threshold, so our choice of three was a more aggressive criterion.""",PMC4710850.pdf,
A walk in the park? Characterizing gait-related artifacts in mobile EEG recordings,"Jacobsen, N.S.J., et al., 2020",HA,Overground walking,"1 Hz, zero-phase FIR filter, order 826",Yes,7 SD,Dipole/residual-variance; ICLabel,"reject IC if P(eye, muscle, heart, line noise, channel noise) > 0.9","- ""First, EEG data were high-pass filtered at 1 Hz (order 826) and low-pass filtered at 135 Hz (order 56) with the zerophase, finite impulse response (FIR) filters (eegfiltnew) and then downsampled to 250 Hz.""","- ""Without further specification, data referred to as 'artifact attenuated' are data cleaned at stage 2 (including ASR and ICA).""
  - ""Subsequently, the walking conditions and the remaining standing baseline were concatenated. For ICA attenuation, consecutive 1-s epochs were extracted and epochs with a joint probability exceeding a threshold of SD = 3 were rejected using EEGLAB's function jointprob.""
  - ""Data processed up to this stage are referred to as artifact attenuated 1.""
  - ""Following preprocessing, the ASR algorithm was applied.""
  - ""We chose to attenuate gait-related and other artifacts, like blinks, with previously used techniques, specifically a combination of ASR (Mullen et al., 2015) and ICA.""","- ""The lack of a further decrease when performing ICA after ASR hints at the fact that the chosen ASR threshold (SD = 7) was very strict.""
  - ""ASR was calibrated on 1-min standing baseline recordings and a cutoff of standard deviation (SD) of 7 was chosen, following Nordin et al. (2019).""","- ""Following ICA, previously rejected channels were interpolated and dipoles were fitted using DIPFIT (version 3.2, Oostenveld, Delorme, & Makeig, 2003). A three-layer boundary element model (BEM) and the default anatomy were chosen. Only ICs with dipoles located inside the head and a residual variance lower than 15% were kept.""
  - ""ICs were also automatically classified using IClabel (Pion-Tonachini, Kreutz-Delgado, & Makeig, 2019). Components exceeding a 90% probability of being eye, muscle, heart, line noise, and channel noise were rejected.""","- ""Components exceeding a 90% probability of being eye, muscle, heart, line noise, and channel noise were rejected.""
  - ""Only ICs with dipoles located inside the head and a residual variance lower than 15% were kept.""",PMID_32909315.pdf,
Effects of theta burst stimulation on the Parkinsonian gait disorder and cortical gait-network activity,"Dutke, J., et al., 2025",HA & PwPD,Overground walking,"0.75 Hz, Kaiser-windowed FIR filter, bandwidth 0.5 Hz, stopband attenuation -80 dB",Yes,,ICLabel; Dipole/residual-variance,reject IC if P(muscle or eye) > 0.85,"- ""EEG data were referenced to average, high-pass filtered (Kaiser-windowed FIR filter with a cutoff frequency of 0.75 Hz, bandwidth 0.5 Hz, stopband attenuation -80 dB) to reduce slow drifts and low-pass filtered (Kaiser-windowed FIR filter with a cutoff frequency at 95 Hz, bandwidth 10 Hz, stoppband attenuation -80 dB) to eliminate high-frequency DBS artifacts.""","- ""The Clean Rawdata plugin for EEGLAB removed flat line channels and reconstructed shortlasting irregular artifacts as, e.g., muscle artifacts by artifact subspace reconstruction (ASR).""","- """"The Clean Rawdata plugin for EEGLAB removed flat line channels and reconstructed shortlasting irregular artifacts as, e.g., muscle artifacts by artifact subspace reconstruction (ASR). Data portions with a variance larger than 12 SD relative to calibration data were removed, validated by visual inspection.""""","- ""DIPFIT plugin for EEGLAB by Robert Oostenveld was used to remove components with dipoles located outside the head and components with residual variance over 20%.""","- ""DIPFIT plugin for EEGLAB by Robert Oostenveld was used to remove components with dipoles located outside the head and components with residual variance over 20%.""",PMID_40383539.pdf,
Mobile electroencephalography captures differences of walking over even and uneven terrain but not of single and dual-task gait,"Jacobsen, N.S.J., et al., 2022",HA,Overground walking,"- Main analysis: 0.2 Hz (passband edge, order 4,126), zero-phase, finite impulse response (FIR) filter
- Before ICA: 1 Hz (passband edge, order 415)",Yes,20 SD,ICLabel,reject IC if P(eye movement or blinking) > 0.9,"- ""First, data were downsampled to 250 Hz and then filtered between 0.2 Hz (passband edge, order 4,126) and 60 Hz (passband edge, order 56) with zero-phase, finite impulse response (FIR) filters.""
  - ""For ICA decomposition, an interim dataset was high-pass filtered at 1 Hz (passband edge, order 415) and consecutive 1-s epochs were extracted.""","- ""Afterward, all ICs were automatically classified using IClabel (72) (version 1.3), and components exceeding a 90% probability of representing eye movement or blinking artifacts were rejected.""
  - ""For ICA decomposition, an interim dataset was high-pass filtered at 1 Hz (passband edge, order 415) and consecutive 1-s epochs were extracted. Epochs with samples exceeding a threshold of 350 µV or a joint probability of three standard deviations (jointprob) were rejected.""
  - ""Artifact subspace reconstruction (53), was calibrated with a standing baseline at the beginning of the recordings and used to correct artifacts with a cut-off of SD = 20, following the version's default settings and recommendations (54).""","- ""The same weighting matrix was used for the averaged as well as condition-specific ERSPs, in order not to introduce condition-specific variance by the artifact attenuation.""","- ""Afterward, all ICs were automatically classified using IClabel (72) (version 1.3), and components exceeding a 90% probability of representing eye movement or blinking artifacts were rejected.""","- ""Afterward, all ICs were automatically classified using IClabel (72) (version 1.3), and components exceeding a 90% probability of representing eye movement or blinking artifacts were rejected.""",PMC9582531.pdf,
